1,54c01942-22fd-4184-9877-1db0089b18f1,acid house
2,7dc2b20f-3953-4874-b9bf-41b8ba06d20c,acid jazz
3,ba64013e-27bb-4f14-a530-8d25b296e0da,acid techno
4,37f85b9c-c3fc-4b5a-8545-51aeb78c8786,acoustic blues
5,00055e8b-b951-46e2-af1e-58b5624e7952,acoustic rock
6,fcc58a18-9326-4c92-8b29-c294d44379c3,afrobeat
7,5f9cba3d-1a9f-46cd-8c49-7ed78d1f3354,alternative country
8,8301f73c-9166-4108-bfeb-4fd22dc19083,alternative dance
9,0b48a36c-630f-4ee7-8cf3-480e3dd8be65,alternative folk
10,924943cd-73c8-45c0-96eb-74f2a15e5d6e,alternative hip hop
11,7983ff25-ddf9-411e-a7f9-6cca238bff79,alternative metal
12,d3ebe947-7c03-43f5-b333-09379881b0f6,alternative pop
13,e096efc6-6c9c-4240-b627-d7bbb5e8fa2a,alternative punk
14,ceeaa283-5d7b-4202-8d1d-e25d116b2a18,alternative rock
15,608b0471-7531-4854-a348-e698c69cb699,ambient
16,cc2327cf-88a3-476b-950c-296c382eabd9,ambient house
17,1c6e4eae-915d-4662-a7ff-038920b67d9e,ambient techno
18,2c765e49-a12e-45eb-b628-f8b9cc0a0250,americana
19,e12fe025-4c13-485e-a2fe-ad5bf2cd75eb,anarcho-punk
20,aca1caab-09d1-44b5-ae84-590ff1d218fc,aor
21,26af3760-750a-4b5e-a699-78c87697585a,arena rock
22,b7ef058e-6d83-4ca4-8123-9724bff4648b,art rock
23,d14a4c4a-bea5-4b08-b945-59b048acd2d5,atmospheric black metal
24,966d3d2d-15bd-4f6f-a830-15ab2c5e662f,audiobook
25,b1c0c2ad-e5ae-4bb6-a1be-d66e195fd2d7,avant-garde
26,8d901306-d4a3-436c-a1c3-75550e5b6eaf,avant-garde jazz
27,77c0160b-8090-4493-b229-890addfee1df,avant-garde metal
28,0e7a3c6a-4fbc-4b66-8201-9196032768ac,avant-garde pop
29,b413acf5-112a-4d44-a61f-9abe28f0dfac,bachata
30,17b58d38-1110-4f5a-9412-b0314329622b,ballad
31,f8f6157d-5ace-4844-90c2-2e2a829b8932,barbershop
32,9e44c2c9-8c44-4aa6-9de3-0f3e75b49f1b,baroque
33,ac30756b-55a7-4dc3-8908-8f94c93318d0,bebop
34,59a849e1-73fe-428d-8a61-3788875f9644,bhangra
35,e7bb9a21-9556-4b85-bc78-5f69a3d0577d,big band
36,aac07ae0-8acf-4249-b5c0-2762b53947a2,big beat
